      1 root      20   0  186392   3560   2380 S   0,0   0,2   0:01.83 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par_gp

   5033 root      20   0 1821168   1,2g   1672 R  88,2  65,5   0:50.42 mem.sh
      1 root      20   0  186392   3560   2380 S   0,0   0,2   0:01.83 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par_gp

   5033 root      20   0 1877136   1,2g   1672 R  99,9  68,5   0:52.17 mem.sh
      1 root      20   0  186392   3560   2380 S   0,0   0,2   0:01.83 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par_gp

   5033 root      20   0 1933104   1,3g   1672 R  99,9  71,5   0:53.94 mem.sh
   5022 root      20   0  275200   1020    228 S   6,2   0,1   0:00.20 top
      1 root      20   0  186392   3560   2380 S   0,0   0,2   0:01.83 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp

   5033 root      20   0 1991052   1,3g   1672 R  88,2  74,7   0:55.70 mem.sh
      1 root      20   0  186392   3560   2380 S   0,0   0,2   0:01.83 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par_gp

   5033 root      20   0 2053224   1,4g   1672 R  88,2  78,0   0:57.47 mem.sh
      1 root      20   0  186392   3560   2380 S   0,0   0,2   0:01.83 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par_gp

   5033 root      20   0 2109588   1,4g   1672 R  88,2  81,0   0:59.22 mem.sh
      1 root      20   0  186392   3560   2380 S   0,0   0,2   0:01.83 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par_gp

   5033 root      20   0 2167404   1,5g   1672 R  93,8  84,1   1:00.97 mem.sh
      1 root      20   0  186392   3560   2380 S   0,0   0,2   0:01.83 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par_gp

   5033 root      20   0 2229708   1,6g   1672 R  99,9  87,5   1:02.75 mem.sh
      1 root      20   0  186392   3560   2380 S   0,0   0,2   0:01.83 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par_gp

   5033 root      20   0 2284752   1,5g   1672 R  55,6  86,8   1:04.37 mem.sh
     49 root      20   0       0      0      0 S  16,7   0,0   0:09.49 kswapd0
   7050 root      20   0  275048   4552   3980 R   5,6   0,2   0:00.01 top
      1 root      20   0  186392   3556   2380 S   0,0   0,2   0:01.83 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd

   5033 root      20   0 2334252   1,5g   1672 R  88,2  87,2   1:06.02 mem.sh
      1 root      20   0  186392   3552   2380 S   0,0   0,2   0:01.83 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par_gp

   5033 root      20   0 2382696   1,6g   1672 R  83,3  87,7   1:07.70 mem.sh
      1 root      20   0  186392   3544   2380 S   0,0   0,2   0:01.83 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par_gp

   5033 root      20   0 2432460   1,5g   1672 R  52,9  87,1   1:09.39 mem.sh
     49 root      20   0       0      0      0 S  23,5   0,0   0:09.71 kswapd0
      1 root      20   0  186392   3540   2380 S   0,0   0,2   0:01.83 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp

   5033 root      20   0 2489616   1,6g   1672 R  93,8  88,1   1:11.10 mem.sh
      1 root      20   0  186392   3536   2380 S   0,0   0,2   0:01.83 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par_gp

   5033 root      20   0 2544924   1,6g   1672 R  88,2  87,9   1:12.77 mem.sh
      1 root      20   0  186392   3532   2380 S   0,0   0,2   0:01.83 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par_gp

   5033 root      20   0 2598252   1,6g   1672 R  99,9  87,7   1:14.47 mem.sh
      1 root      20   0  186392   3524   2380 S   0,0   0,2   0:01.83 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par_gp

